time,icao24,lat,lon,velocity,altitude
1645414220,a98909,40.76593431,-73.84522872,71.39103818,335.28
1645414230,a98909,40.76058081,-73.84085915,70.40556614,441.96
1645414240,a98909,40.75392384,-73.83836226,75.36209539,518.16
1645414250,a98909,40.74746704,-73.83642578,80.51993609,601.98
1645414260,a98909,40.73959351,-73.83441162,87.98045293,685.8
1645414270,a98909,40.73153221,-73.83249456,94.05184462,739.14
1645414280,a98909,40.72238159,-73.83105469,101.9235481,815.34
1645414290,a98909,40.71374926,-73.83261941,99.89490495,952.5
1645414300,a98909,40.70578882,-73.83867437,99.94655315,1104.9
1645414310,a98909,40.69944763,-73.84698486,102.6235194,1234.44
1645414320,a98909,40.69294739,-73.85632324,106.4215421,1363.98
1645414330,a98909,40.6867024,-73.86601535,108.1556573,1524
1645414340,a98909,40.68088338,-73.87606534,107.2082041,1706.88
1645414350,a98909,40.67753161,-73.88767589,105.0738489,1882.14
1645414360,a98909,40.67674023,-73.8997234,106.0553475,2042.16
1645414370,a98909,40.67866516,-73.91271973,110.7871607,2164.08
1645414380,a98909,40.68307133,-73.92525413,118.5344173,2255.52
1645414390,a98909,40.6886576,-73.93723921,125.7118415,2354.58
1645414400,a98909,40.69509888,-73.95019531,129.8530437,2468.88
1645414410,a98909,40.70173645,-73.96313477,131.0823098,2636.52
1645414420,a98909,40.70988542,-73.9741308,132.0769223,2834.64
1645414430,a98909,40.71938208,-73.98393111,132.836175,3017.52
1645414440,a98909,40.72878563,-73.99335688,133.5574304,3177.54
1645414450,a98909,40.73837539,-74.00309476,135.6299191,3337.56
1645414460,a98909,40.74769592,-74.01373291,138.2390576,3444.24
1645414470,a98909,40.75474548,-74.02685547,142.4424742,3512.82
1645414480,a98909,40.75895691,-74.04321289,147.8174067,3566.16
1645414490,a98909,40.76106262,-74.06072998,153.7292614,3642.36
1645414500,a98909,40.76304808,-74.07906272,159.1129635,3718.56
1645414510,a98909,40.76522827,-74.09851074,162.7506018,3825.24
1645414520,a98909,40.76709812,-74.11739003,165.597438,3931.92
1645414530,a98909,40.76623535,-74.13745117,167.2892473,4053.84
1645414540,a98909,40.76170349,-74.15625,169.4989542,4183.38
1645414550,a98909,40.75483704,-74.1739502,170.2840724,4328.16
1645414560,a98909,40.74763928,-74.19179743,170.7651895,4472.94
1645414570,a98909,40.74050903,-74.20953369,172.3694503,4610.1
1645414580,a98909,40.73316154,-74.22756542,173.761029,4739.64
1645414590,a98909,40.72571318,-74.24598,175.1536395,4853.94
1645414600,a98909,40.71793896,-74.26489397,176.7921817,4953
1645414610,a98909,40.71039749,-74.28305886,176.7921817,5036.82
1645414620,a98909,40.70290258,-74.30116133,175.888697,5067.3
1645414630,a98909,40.69514465,-74.31976318,175.4374727,5082.54
1645414640,a98909,40.68777466,-74.33740234,176.436293,5113.02
1645414650,a98909,40.67920749,-74.35559359,177.9247543,5173.98
1645414660,a98909,40.67001343,-74.37231445,178.7202446,5288.28
1645414670,a98909,40.66035384,-74.38936407,176.5614978,5463.54
1645414680,a98909,40.65095029,-74.4062181,174.4033448,5654.04
1645414690,a98909,40.6419657,-74.42219821,172.5505301,5852.16
1645414700,a98909,40.63232939,-74.43942677,172.5505301,5996.94
1645414710,a98909,40.62345886,-74.45513916,172.8562461,6126.48
1645414720,a98909,40.61412747,-74.47163669,172.1366831,6278.88
1645414730,a98909,40.60514832,-74.48754883,170.5907474,6438.9
1645414740,a98909,40.59555312,-74.50428356,170.7961828,6576.06
1645414750,a98909,40.58651733,-74.5199585,172.6478969,6667.5
1645414760,a98909,40.57688568,-74.53680559,176.0428571,6720.84
1645414770,a98909,40.56720281,-74.55384688,179.0272511,6736.08
1645414780,a98909,40.55789236,-74.57026395,179.0272511,6736.08
1645414790,a98909,40.54802329,-74.58755493,179.3352079,6736.08
1645414800,a98909,40.53849792,-74.60412598,179.64411,6736.08
1645414810,a98909,40.52861023,-74.62139893,178.9237415,6736.08
1645414820,a98909,40.5193634,-74.63757324,174.4996778,6743.7
1645414830,a98909,40.50975037,-74.65423584,174.0889442,6743.7
1645414840,a98909,40.50026069,-74.67070146,176.3515233,6743.7
1645414850,a98909,40.49043817,-74.68793002,180.4672192,6736.08
1645414860,a98909,40.48070875,-74.70503374,184.8916317,6728.46
1645414870,a98909,40.47079468,-74.72241211,186.3317304,6728.46
1645414880,a98909,40.46045853,-74.74036477,186.9499689,6736.08
1645414890,a98909,40.45058945,-74.75740606,187.6705532,6736.08
1645414900,a98909,40.44012451,-74.77557373,186.9499689,6736.08
1645414910,a98909,40.42996681,-74.79311163,186.9499689,6736.08
1645414920,a98909,40.41986498,-74.81071472,187.0518667,6736.08
1645414930,a98909,40.40995789,-74.82794189,187.0518667,6736.08
1645414940,a98909,40.40008028,-74.84523426,187.3607591,6736.08
1645414950,a98909,40.38981628,-74.86297607,187.3607591,6736.08
1645414960,a98909,40.3796904,-74.8805653,187.3607591,6736.08
1645414970,a98909,40.36967468,-74.89794922,186.9499689,6743.7
1645414980,a98909,40.35920741,-74.91602117,186.9499689,6743.7
1645414990,a98909,40.34938489,-74.93300004,186.9499689,6743.7
1645415000,a98909,40.33905029,-74.95085283,186.5396928,6743.7
1645415010,a98909,40.32890191,-74.96833108,186.5396928,6743.7
1645415020,a98909,40.31895447,-74.98547363,186.5396928,6743.7
